wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
43003	VABB	1912	7285	14	BOMBAY/SANTACRUZ	NULL	7,8,18	NULL	2023-01-09 12:00:00
42971	VEBS	2025	8583	46	BHUBANESWAR	NULL	7,10,18	NULL	2023-01-09 00:00:00
42874	42874	2122	8167	298	PBO RAIPUR	NULL	7,10,18	NULL	2023-01-07 23:00:00
42867	VANP	2110	7905	310	NAGPUR SONEGAON AFB	NULL	7,10,18	NULL	2023-01-09 12:00:00
42809	VECC	2265	8845	6	CALCUTTA/DUM DUM	NULL	7,10,18	NULL	2023-01-09 12:00:00
42724	VEAT	2388	9125	16	AGARTALA	NULL	7,10,18	NULL	2022-05-12 06:00:00
42701	VERC	2332	8532	652	RANCHI	NULL	7,10,18	NULL	2022-09-30 00:00:00
42667	VABP	2328	7735	523	BHOPAL/BAIRAGARH	NULL	7,10,18	NULL	2023-01-08 00:00:00
42647	VAAH	2307	7263	55	AHMADABAD	NULL	7,10,18	NULL	2022-12-16 23:00:00
42492	VEPT	2560	8510	60	PATNA	NULL	7,10,18	NULL	2020-10-31 23:00:00
42410	VEGT	2610	9158	54	GAUHATI (IN-AFB)	NULL	7,10,18	NULL	2023-01-09 11:00:00
42369	VILK	2675	8088	128	LUCKNOW/AMAUSI	NULL	7,10,18	NULL	2023-01-09 00:00:00
42361	VIGR	2623	7825	207	GWALIOR (IN-AFB)	NULL	7,10,18	NULL	2022-05-17 05:00:00
42339	VIJO	2630	7302	224	JODHPUR (IN-AFB)	NULL	7,10,18	NULL	2022-10-16 00:00:00
42314	VEMN	2748	9502	111	DIBRUGARH/MOHANBARI	NULL	7,10,18	NULL	2022-05-08 00:00:00
42182	VIDD	2858	7720	216	DELHI/SAFDARJUNG	NULL	7,10,18	NULL	2023-01-09 11:00:00
42101	42101	3033	7647	251	PATIALA	NULL	7,10,18	NULL	2022-11-28 00:00:00
41256	OOMS	2358	5828	17	SEEB INTL/MUSCAT	NULL	7,10,18	NULL	2022-12-19 01:00:00
41217	OMAA	2443	5465	27	ABU DHABI INTL	NULL	7,10,18	NULL	2023-01-09 12:00:00
41112	OEAB	1823	4265	2084	ABHA	NULL	7,8,18	NULL	2023-01-09 11:00:00
41024	OEJN	2167	3915	17	JEDDAH/ABDUL AZIZ	NULL	7,10,18	NULL	2023-01-09 11:00:00
40800	OIFM	3262	5167	1590	ESFAHAN (CIV/AFB)	NULL	7,10,18	NULL	2022-12-27 00:00:00
40766	OICC	3427	4712	1322	KERMANSHAH/BAKTARAN	NULL	7,10,18	NULL	2023-01-09 00:00:00
40754	OIII	3568	5135	1191	TEHRAN/MEHRABAD AFB	NULL	7,10,18	NULL	2023-01-09 12:00:00
40582	OKBK	2922	4798	55	KUWAIT INTERNATIONAL AIRPORT	NULL	7,10,18	NULL	2023-01-09 12:00:00
40430	OEMA	2455	3972	636	MADINAH INTL ARPT	NULL	7,10,18	NULL	2023-01-09 12:00:00
40417	OEMF	2645	4982	12	KING FAHAD INTERNATIONAL APT	NULL	7,10,18	NULL	2023-01-09 12:00:00
